date,mktcap_usd,fcfev,ebitmargin,ebitdatoast,momentum
2017-01-31,0.0091933090019246,0.0037346982311499,0.0040413851112574,0.0052666598482375,0.9777639478074304
2017-02-28,0.0239223823091477,0.009114525675048,0.0089978180119392,0.0126233275724114,0.9453419464314536
2017-03-31,0.0577548929156107,0.0210917162995874,0.0184520370595524,0.0289709272407333,0.873730426484516
2017-04-28,0.1298716017730071,0.0154561842578246,0.011932819911016,0.0470289490195091,0.795710445038643
2017-05-31,0.1649331983084044,0.0191375621759981,0.0143533710143025,0.0629680078192443,0.7386078606820505
2017-06-30,0.2393370463718895,0.0234157423267615,0.0194744820062651,0.0815729067512518,0.636199822543832
2017-07-31,0.1706141376463743,0.0673742930645938,0.0471197133409434,0.0883900139803666,0.6265018419677216
2017-08-31,0.1974039899024073,0.0701400527443972,0.0503702726928782,0.1033702096736597,0.5787154749866574
2017-09-29,0.2595419398066787,0.074541797598459,0.0306454601151739,0.1050904936495414,0.5301803088301469
2017-10-31,0.3650794536932258,0.0285031200686704,0.025067704963768,0.1388777189493608,0.4424720023249748
2017-11-30,0.3964916713936092,0.0314408102545321,0.0301391103961991,0.212919431542756,0.3290089764129034
2017-12-29,0.4213808352033251,0.0347211438217993,0.0256493843514738,0.2042130050069914,0.3140356316164103
2018-01-31,0.387781885169591,0.1285921333382934,0.0526984681335572,0.1489168716715219,0.2820106416870364
2018-02-28,0.3860954409636079,0.1396848147910873,0.0518717604216144,0.1507381899899514,0.2716097938337388
2018-03-29,0.3901989445268328,0.1809539488870477,0.0294819053222921,0.1439409031885287,0.2554242980752985
2018-04-30,0.3999741461582538,0.1830352887150108,0.0298769963939305,0.1346359305404959,0.2524776381923088
2018-05-31,0.4017342658933679,0.1946422797335972,0.0304891111654767,0.1378847101723949,0.2352496330351631
2018-06-29,0.4147969365828198,0.1811248087379611,0.0295186578375645,0.1306705530336652,0.2438890438079891
2018-07-31,0.4001389310034997,0.1835405477859237,0.0301699903377765,0.1296872584949411,0.2564632723778589
2018-08-31,0.4070068949668308,0.1859864220773371,0.0306917051356995,0.1247039728469561,0.2516110049731764
2018-09-28,0.4104528547871616,0.1937804689559822,0.0316097619013679,0.1229634303048893,0.2411934840505988
2018-10-31,0.4049473528704233,0.1877307407437756,0.0290127173470682,0.0910757170568072,0.2872334719819255
2018-11-30,0.3811819646254588,0.1813449399379502,0.0285076532136466,0.0871854748256377,0.3217799673973066
2018-12-31,0.3574388982371847,0.1610946598473575,0.0360022680433264,0.0914851790534412,0.35397899481869
2019-01-31,0.337227762823146,0.1794471052809054,0.0532007560867248,0.11012813438278,0.3199962414264436
2019-02-28,0.3383340125099696,0.1806895333223559,0.0607898143356603,0.1113632907716565,0.3088233490603576
2019-03-29,0.335488651185874,0.1291558998809438,0.0241670285006742,0.1728427120125234,0.3383457084199844
2019-04-30,0.3385601756426551,0.1425716299903908,0.0400881555381605,0.1435182747976982,0.3352617640310952
2019-05-31,0.3207278010285128,0.1602876493499483,0.0448724506017799,0.1594206912634669,0.3146914077562919
2019-06-28,0.3179296509912247,0.1832042633868039,0.0483791267297796,0.1682510490528922,0.2822359098392993
2019-07-31,0.3269488856471406,0.1861488318820369,0.0501149658089618,0.1669611208486238,0.2698261958132367
2019-08-30,0.31207353299365,0.1974378116623611,0.0566661622759862,0.1917413309262222,0.2420811621417803
2019-09-30,0.325308899609453,0.2083192904255575,0.0615003585255831,0.2011819550233773,0.2036894964160291
2019-10-31,0.2502038253097632,0.2646440490898938,0.0469998116260723,0.2974182132946424,0.1407341006796281
2019-11-29,0.2375864441194442,0.2523609781670722,0.0437217362535053,0.3481424732598316,0.1181883682001466
2019-12-31,0.2626263667225202,0.2518878671886984,0.0419457368051778,0.3319504913137174,0.111589537969886
2020-01-31,0.2829250911405903,0.2286636655869593,0.0414750652464394,0.3314842439529075,0.1154519340731033
2020-02-28,0.3680160521231044,0.1649370357543202,0.0551029738563836,0.2541700783017446,0.1577738599644471
2020-03-31,0.194117085868877,0.3056664888077757,0.0215504662535049,0.3038379933924822,0.1748279656773601
2020-04-30,0.1624969198831412,0.3394082917284126,0.0230486344492662,0.3125479997857261,0.1624981541534538
2020-05-29,0.177312597514851,0.3188422367153759,0.0247209242531346,0.3166286490625118,0.1624955924541265
2020-06-30,0.1839579903508099,0.2384808189267162,0.0295692957354344,0.3693993284429949,0.1785925665440445
2020-07-31,0.191091492111554,0.2419366492701928,0.0308368029735764,0.3548074994307392,0.1813275562139375
2020-08-31,0.2028078933749805,0.252555944877928,0.0315670254137113,0.324620588419851,0.188448547913529
2020-09-30,0.2068220839035239,0.2544426376493925,0.0313617948359957,0.3083093319908507,0.199064151620237
2020-10-30,0.2096904996470461,0.2495838016243318,0.0321831091122146,0.3056126515519713,0.202929938064436
2020-11-30,0.23181951165700618,0.19195765934853137,0.055816963812530866,0.32572924769299505,0.19467661748893653
